Question;Réponse
Comment signaler une personne âgée isolée ?;Les personnes âgées isolées peuvent être inscrites sur le registrePersonnes âgées isoléesauprès de l'Espace Régine-et-PIerre-Souweine.
Comment se faire livrer des repas ?;Des associations peuvent vous aider en dispensant des repas tout prêts, livrés ou non à domicile.
Comment effectuer une demande de Pass navigo seniors ?;Les démarches pour obtenir un Pass navigo seniors sont expliquéessur ce lien.
Comment effectuer une demande de logement social ?;Il convient de déposer un dossier de demande de logement social en ligne sur le sitewww.demande-logement-social.gouv.fr. Cette demande de logement est valable un an et doit être renouvelée chaque année. Plus d'informations :cliquez ici
Comment effectuer une demande d'aide pour le maintien à domicile (personne agée) ?;Depuis plusieurs années, Vincennes s'est donné pour objectif de permettre aux personnes âgées de rester autonomes le plus longtemps possible en leur offrant un éventail de solutions adaptées à leurs situations médicale et sociale. La ville a également signé une charte avec plusieurs associations vincennoises d'aide au maintien à domicile.
Comment obtenir la liste des assistantes maternelles ?;Vous pouvez obtenir la liste des assistantes maternelles au Relais Petite Enfance (RPE, 22 rue d'Estienne d'Orves). Vous pouvez également la demander par téléphone au 01 71 33 64 96 ourpe@vincennes.fr.
Comment effectuer une demande de place en crèche ?;Vous pouvez formuler votre demande de place en crèche auprès de l'accueil unique de l'Hôtel de ville ou en ligne via la rubriqueVos démarches.
Quelles sont les dates des commissions d'attribution de place en crèche ?;Les commissions d’attribution des places en crèche à temps complet ont lieu le 1er mercredi de chaque mois (sauf mois d’août et lors des vacances scolaires) à 14h, généralement salle des Académiciens de Cœur de ville (98, rue de Fontenay). Vous trouverez le calendrier des prochaines commissionssur cette page.
Déclaration de naissance ou reconnaissance d'un enfant : quelle différence ?;Ladéclaration de naissanceest obligatoire alors quela reconnaissance d'un enfantrelève d'une démarche volontaire du père.
Un enfant qui déménage dans une nouvelle commune doit-il changer d'école ?;L'enfant inscrit à l'école maternelle ou à l'école élémentaire avant son déménagement peut terminer sa scolarité dans la même école. Par exemple, si votre enfant a commencé son année scolaire en petite section de maternelle et que vous déménagez en cours d'année, il pourra rester dans le même établissement jusqu'à la fin de la grande section de maternelle. Il devra changer d'école pour sa rentrée en CP (début de la scolarité primaire). Si votre enfant a commencé son année scolaire en CP et que vous déménagez en cours d'année, il pourra rester dans le même établissement jusqu'à la fin de son CM2.
Quand dois-je réserver la cantine/le goûter pour mon enfant ?;Pendant la période scolaire: les représentants légaux doivent réserver un repas pour leur enfant pour chaque journée en période scolaire par le biais del'Espace Famille. Les familles ont la possibilité de réserver sur la durée souhaitée : jour, semaine, mois, année. Toutefois, les réservations et modifications ou annulations doivent être effectuées au plus tard le jeudi à 23 h 59 pour la semaine suivante, pour les lundis, mardis, mercredis, jeudis, vendredis. Passé ce délai, les repas réservés, même non consommés, seront facturés.
Comment me seront facturées les activités périscolaires de mes enfants ?;Vous pouvez régler vos factures en ligne, vial'Espace Famille, ou opter pour le prélèvement automatique. Vous trouverez tous les renseignements sur la facturation des activités périscolaires dansle règlement des accueils de loisirs.
